,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Beverages,BEV00177,Red Bull Original 24/8.4 oz Can,CASE,12,13,16,11,13,19,13,14,15,12,9,9,13,16,19,23,21,17,15,23,17,24,18,12,$704.13 ,$762.80 ,$938.83 ,$645.44 ,$769.96 ,"$1,148.90 ",$786.09 ,$846.58 ,$907.05 ,$725.62 ,$544.20 ,$544.20 ,$786.07 ,$967.47 ,"$1,148.87 ","$1,465.74 ","$1,352.67 ","$1,095.07 ",$966.23 ,"$1,481.53 ","$1,095.03 ","$1,545.96 ","$1,159.49 ",$773.00 ,374,"$23,160.93 "
Beverages,BEV00415,Vitamin Water Essential 24/20 oz,CASE,,,,,,,,,,,,,,,,,,,15,15,16,27,18,18,,,,,,,,,,,,,,,,,,,$644.50 ,$644.48 ,$687.47 ,"$1,160.08 ",$773.40 ,$773.39 ,109,"$4,683.32 "
Beverages,BEV07015,Coca Cola Mexican Coke 24/235 ML,CASE,,,,,,,,,,,,,,,,,,,,,,1,18,18,,,,,,,,,,,,,,,,,,,,,,$27.86 ,$501.61 ,$501.58 ,37,"$1,031.05 "
Beverages,BEV00416,Vitamin Water Focus 24/20 oz,CASE,,,,,,,,,,,,,,,,,,,19,34,19,6,17,23,,,,,,,,,,,,,,,,,,,$816.37 ,"$1,460.85 ",$816.37 ,$257.79 ,$730.44 ,$988.22 ,118,"$5,070.04 "
Beverages,BEV00666,LaCroix Cranraspberry 24/12 oz,CASE,,,,,3,11,4,9,4,10,6,8,11,12,6,2,4,,4,8,6,26,17,16,,,,,$40.98 ,$150.26 ,$54.64 ,$128.87 ,$58.03 ,$145.06 ,$87.04 ,$116.05 ,$159.57 ,$174.08 ,$87.04 ,$29.28 ,$62.13 ,,$62.13 ,$124.25 ,$93.20 ,$403.85 ,$264.05 ,$248.51 ,167,"$2,489.02 "
Beverages,BEV01114,Gatorade Lime 64 oz,EACH,20,8,12,20,16,12,15,3,16,16,,12,5,12,10,12,,6,9,,9,7,16,1,$74.75 ,$33.10 ,$49.64 ,$82.74 ,$68.02 ,$51.78 ,$64.75 ,$12.95 ,$69.04 ,$69.04 ,,$51.79 ,$21.58 ,$51.78 ,$48.03 ,$54.06 ,,$27.60 ,$41.40 ,,$41.40 ,$32.20 ,$73.60 ,$4.60 ,237,"$1,023.85 "
Beverages,BEV01384,Evolution Juice Grapefruit Juice 59 oz,EACH,28,15,27,18,28,16,19,24,17,18,24,10,19,18,28,24,28,13,9,14,13,10,16,13,$266.84 ,$142.95 ,$257.31 ,$171.54 ,$271.02 ,$157.28 ,$186.77 ,$235.92 ,$167.10 ,$176.94 ,$235.92 ,$98.30 ,$186.75 ,$176.94 ,$275.23 ,$246.33 ,$294.97 ,$137.56 ,$95.24 ,$148.12 ,$137.55 ,$105.80 ,$169.29 ,$137.55 ,449,"$4,479.22 "
Beverages,BEV01161,Lev's Kombucha Keg (CO2 & Kegorator rentals included),KEG,22,14,19,16,19,17,12,19,15,21,21,10,21,13,5,15,16,6,13,14,8,19,15,11,"$3,580.50 ","$2,278.50 ","$3,092.25 ","$2,604.00 ","$3,138.04 ","$2,853.22 ","$2,014.05 ","$3,188.90 ","$2,517.56 ","$3,524.58 ","$3,524.57 ","$1,678.39 ","$3,524.60 ","$2,181.90 ",$839.18 ,"$2,663.00 ","$2,864.40 ","$1,074.15 ","$2,327.33 ","$2,506.35 ","$1,432.20 ","$3,401.48 ","$2,685.38 ","$1,969.28 ",361,"$61,463.80 "
Beverages,BEV00091,Vita Coco Pure 12/33.8 oz,CASE,23,18,21,23,26,24,18,21,20,21,20,13,19,16,21,19,20,17,15,18,15,20,14,8,"$1,351.94 ","$1,058.04 ","$1,234.38 ","$1,351.95 ","$1,546.48 ","$1,454.40 ","$1,090.80 ","$1,272.60 ","$1,212.00 ","$1,272.60 ","$1,212.00 ",$787.80 ,"$1,151.40 ",$969.60 ,"$1,292.06 ","$1,345.11 ","$1,439.38 ","$1,223.48 ","$1,079.53 ","$1,295.44 ","$1,079.54 ","$1,439.40 ","$1,007.58 ",$575.76 ,450,"$28,743.27 "
Beverages,BEV01113,Gatorade Fruit Punch 64 oz,EACH,27,12,4,16,20,20,13,16,14,16,5,12,5,12,10,12,,6,9,12,18,8,13,1,$98.20 ,$49.64 ,$16.55 ,$66.19 ,$84.77 ,$86.30 ,$56.11 ,$69.04 ,$60.41 ,$69.04 ,$21.58 ,$51.79 ,$21.58 ,$51.78 ,$48.03 ,$54.06 ,,$27.60 ,$41.40 ,$55.20 ,$82.80 ,$36.80 ,$59.80 ,$4.60 ,281,"$1,213.27 "
Beverages,BEV00074,Co2 Tank 10 lb (Orange),TANK,15,11,15,13,14,14,7,12,,10,5,,22,5,9,18,4,,11,6,,24,10,5,$787.50 ,$577.50 ,$787.50 ,$682.50 ,$741.56 ,$757.96 ,$378.98 ,$649.68 ,,$541.40 ,$270.70 ,,"$1,191.09 ",$270.70 ,$487.26 ,"$1,039.50 ",$231.00 ,,$635.25 ,$346.50 ,,"$1,386.00 ",$577.50 ,$288.75 ,230,"$12,628.83 "
Beverages,BEV00231,Monster Energy Drink Ultra Blue 24/16 oz,CASE,5,2,4,4,3,,3,2,2,,2,3,4,2,6,5,6,7,6,8,8,9,8,5,$258.01 ,$103.21 ,$206.41 ,$206.41 ,$156.38 ,,$159.53 ,$106.35 ,$106.35 ,,$115.10 ,$172.65 ,$230.19 ,$115.10 ,$342.66 ,$295.80 ,$359.35 ,$419.24 ,$359.35 ,$479.14 ,$479.14 ,$539.03 ,$479.14 ,$299.46 ,104,"$5,988.00 "
Beverages,BEV01108,Crystal Geyser Spring Water 24/12 oz,CASE,,8,12,,15,6,5,,5,8,8,,,9,6,10,4,3,4,2,4,7,8,7,,$70.08 ,$105.12 ,,$133.77 ,$53.98 ,$44.98 ,,$35.30 ,$56.48 ,$56.48 ,,,$63.54 ,$42.36 ,$74.50 ,$29.80 ,$22.35 ,$29.80 ,$14.90 ,$29.80 ,$52.15 ,$59.60 ,$52.15 ,131,"$1,027.14 "
