,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Dairy,DAI00156,Challenge Whipped Butter Salted 8 oz,TUB,9,11,17,14,8,18,6,14,9,11,14,1,16,11,15,7,12,17,25,27,16,12,14,12,$53.04 ,$64.80 ,$100.18 ,$82.50 ,$47.15 ,$109.43 ,$36.48 ,$85.12 ,$54.72 ,$66.88 ,$85.10 ,$6.08 ,$97.28 ,$66.88 ,$91.19 ,$45.39 ,$77.80 ,$110.21 ,$162.07 ,$175.05 ,$103.72 ,$77.79 ,$90.78 ,$77.78 ,316,"$1,967.42 "
Dairy,DAI00026,Bel Kaukauna Mini Babybel Cheese 32/.7 oz,BAG,20,13,21,12,17,19,14,13,15,14,12,7,20,16,19,18,19,20,18,24,21,25,5,,$416.64 ,$270.79 ,$437.44 ,$249.97 ,$358.66 ,$408.14 ,$300.76 ,$279.26 ,$322.21 ,$300.73 ,$257.78 ,$150.36 ,$429.62 ,$343.69 ,$408.12 ,$405.36 ,$435.46 ,$458.38 ,$412.51 ,$550.05 ,$481.28 ,$572.94 ,$114.58 ,,382,"$8,364.73 "
Dairy,DAI00198,Fagetotal Plain 0% 12/6 oz,CASE,,,,,,,,,6,,,,8,,1,,,2,,3,,2,5,,,,,,,,,,$132.19 ,,,,$176.25 ,,$22.23 ,,,$47.43 ,,$71.15 ,,$47.44 ,$118.58 ,,27,$615.27 
Dairy,DAI00449,Bel Kaukauna Mini Babybel Cheese Light 32/0.75 Oz,BAG,,,,,,,,,6,8,7,5,10,5,11,10,10,12,10,15,13,4,2,,,,,,,,,,$109.02 ,$145.36 ,$127.19 ,$90.85 ,$181.70 ,$90.85 ,$199.87 ,$190.17 ,$193.80 ,$232.56 ,$193.80 ,$290.71 ,$251.95 ,$77.52 ,$38.77 ,,128,"$2,414.12 "
Dairy,DAI00127,Clover Milk 2% HGAL 64 oz,EACH,,,,4,,2,,,,,,4,1,,,,,,,4,,1,1,,,,,$9.39 ,,$4.84 ,,,,,,$9.68 ,$2.42 ,,,,,,,$11.73 ,,$2.93 ,$2.93 ,,17,$43.92 
Dairy,DAI00199,Fagetotal Plain 2% 12/7 oz,CASE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$23.72 ,,1,$23.72 
Dairy,DAI00013,Sargento Deli Style Colby Jack 7.5 oz,BAG,21,13,11,17,9,11,13,12,8,17,20,4,24,18,23,17,19,23,27,25,18,15,,13,$139.65 ,$86.45 ,$73.15 ,$113.06 ,$61.32 ,$75.46 ,$89.18 ,$82.32 ,$54.88 ,$116.62 ,$137.20 ,$27.44 ,$164.64 ,$123.48 ,$157.78 ,$123.52 ,$139.08 ,$168.33 ,$197.55 ,$182.92 ,$131.69 ,$109.75 ,,$95.13 ,378,"$2,650.60 "
Dairy,DAI00057,Delicias Pepino Chile Bar 12/4 oz,BOX,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,$38.40 ,,,,,,6,$38.40 
Dairy,DAI00058,Delicias Strawbrry Cream Bar 12/4 oz,BOX,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,$89.60 ,,,,,,14,$89.60 
Dairy,DAI00059,Delicias Coconut Cream Bar 12/4 oz,BOX,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,$83.20 ,,,,,,13,$83.20 
Dairy,DAI00085,Nestle Drumstick Ice Cream Crunch Dipped 8/4.6 oz,BOX,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,$551.12 ,,,,,43,$551.12 
Dairy,DAI00158,Smart Balance Soft Spread 16 oz,TUB,4,3,8,4,4,5,1,6,3,6,9,2,3,7,5,4,4,6,4,10,,11,,,$19.93 ,$14.94 ,$39.87 ,$19.92 ,$20.24 ,$25.70 ,$5.14 ,$30.84 ,$15.42 ,$30.84 ,$46.26 ,$10.28 ,$15.42 ,$35.98 ,$25.70 ,$21.25 ,$21.93 ,$32.89 ,$21.93 ,$54.83 ,,$60.31 ,,,109,$569.62 
Dairy,DAI00277,Straus Family Creamery Greek Yogurt Plain 32 oz,EACH,,,,,,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,$8.83 ,,,,,,,$8.83 ,,$9.75 ,,,,,$9.75 ,,,4,$37.16 
Dairy,DAI00315,Silk Almond Unsweetened Original 64 oz,EACH,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,$29.53 ,,,$4.92 ,,,,,,,,,,,,,,,,7,$34.45 
Dairy,DAI00459,Delicias Ice Cream Bar Lime 12/4 oz,BOX,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,$44.80 ,,,,,,7,$44.80 
Dairy,DAI00461,Clover Eggnog QT 32 oz,EACH,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,$281.40 ,60,$281.40 
Fresh Fruits/Vegetables/Salad,REF00162,SFS Baby Carrots 2 oz,EACH,504,457,528,486,480,432,420,588,409,456,384,240,528,432,552,456,432,432,384,408,288,336,568,406,$183.31 ,$166.21 ,$192.01 ,$176.74 ,$177.02 ,$162.00 ,$157.50 ,$220.50 ,$153.38 ,$177.60 ,$153.60 ,$96.00 ,$211.20 ,$172.80 ,$220.80 ,$182.40 ,$172.80 ,$172.80 ,$154.40 ,$170.00 ,$120.00 ,$140.00 ,$236.69 ,$169.16 ,"10,606","$4,138.92 "
Fresh Fruits/Vegetables/Salad,FRU00178,Sigona's Lemons Ea,EACH,180,268,317,268,288,297,286,288,288,286,268,201,239,268,297,335,250,268,199,152,134,190,152,114,$267.28 ,$397.96 ,$470.72 ,$397.96 ,$427.66 ,$451.70 ,$437.96 ,$441.02 ,$441.03 ,$412.83 ,$379.64 ,$284.73 ,$338.56 ,$379.64 ,$420.76 ,$474.60 ,$354.18 ,$379.68 ,$265.35 ,$202.68 ,$167.50 ,$237.50 ,$190.00 ,$142.50 ,"5,833","$8,363.44 "
Fresh Fruits/Vegetables/Salad,FRU00179,Sigona's Limes Ea,EACH,180,268,317,268,288,297,286,297,288,286,268,201,239,268,297,335,250,268,199,152,134,190,152,114,$100.92 ,$150.24 ,$177.71 ,$150.24 ,$161.45 ,$170.51 ,$165.33 ,$171.68 ,$166.48 ,$148.23 ,$134.00 ,$100.50 ,$116.65 ,$129.56 ,$143.54 ,$161.90 ,$120.82 ,$129.52 ,$96.20 ,$73.48 ,$62.52 ,$88.65 ,$70.92 ,$53.19 ,"5,842","$3,044.24 "
Fresh Fruits/Vegetables/Salad,FRU00094,Sigona's Value Pack,EACH,88,80,90,80,90,85,80,95,80,90,90,60,70,75,85,100,75,80,100,80,75,100,75,50,"$5,372.03 ","$4,883.68 ","$5,494.14 ","$4,883.68 ","$5,494.14 ","$5,284.31 ","$5,007.70 ","$5,932.93 ","$5,017.24 ","$5,827.96 ","$6,012.98 ","$4,029.00 ","$4,700.50 ","$5,036.25 ","$5,707.75 ","$6,715.00 ","$5,036.25 ","$5,372.00 ","$6,715.00 ","$5,372.00 ","$5,156.25 ","$6,875.00 ","$5,156.25 ","$3,437.50 ","1,973","$128,519.54 "
Fresh Fruits/Vegetables/Salad,REF00331,Sigona's Cucumber,EACH,96,96,108,96,108,96,108,96,96,108,108,72,96,96,96,120,84,96,144,40,35,50,40,30,$181.84 ,$181.84 ,$204.57 ,$181.84 ,$204.57 ,$186.10 ,$210.96 ,$187.52 ,$187.52 ,$221.88 ,$225.00 ,$150.00 ,$200.00 ,$200.00 ,$200.00 ,$250.00 ,$175.00 ,$200.00 ,$300.00 ,$42.68 ,$60.66 ,$86.65 ,$69.32 ,$44.99 ,"2,115","$4,152.94 "
Fresh Fruits/Vegetables/Salad,FRU00143,Sigona's Citrus Mandarins Case,CASE,,,,,,,,,,,,,4,7,8,10,7,8,11,8,7,10,8,6,,,,,,,,,,,,,$305.00 ,$533.75 ,$610.00 ,$762.50 ,$533.75 ,$610.00 ,$800.64 ,$610.00 ,$533.75 ,$762.50 ,$610.00 ,$417.50 ,94,"$7,089.39 "
Fresh Fruits/Vegetables/Salad,FRU00038,Sigona's Bananas 40 lbs,CASE,8,8,10,8,8,10,8,8,16,8,6,6,6,8,8,8,6,6,3,4,4,5,4,2,$303.04 ,$303.04 ,$378.80 ,$303.04 ,$303.04 ,$388.28 ,$312.52 ,$312.52 ,$625.04 ,$328.12 ,$249.99 ,$249.99 ,$249.99 ,$333.32 ,$312.50 ,$312.50 ,$250.00 ,$250.00 ,$104.17 ,$166.68 ,$166.68 ,$208.35 ,$166.68 ,$83.34 ,167,"$6,661.63 "
Fresh Fruits/Vegetables/Salad,FRU00181,Sigona's Grape Tomato Case,CASE,32,32,39,32,33,38,33,39,32,33,33,8,15,32,11,13,9,10,13,,,,,,"$1,672.72 ","$1,672.72 ","$2,038.63 ","$1,672.72 ","$1,724.99 ","$2,035.40 ","$1,778.95 ","$2,102.39 ","$1,725.04 ","$1,868.76 ","$1,897.50 ",$431.25 ,$888.52 ,"$1,906.64 ",$625.63 ,$744.80 ,$536.25 ,$595.84 ,$744.79 ,,,,,,485,"$26,663.54 "
Fresh Fruits/Vegetables/Salad,REF00185,O Organics Organic Salad Baby Spinach Prepacked 1 lb,EACH,,,,,5,,,1,,5,5,5,,,,,,,,,,,,,,,,,$22.73 ,,,$4.69 ,,$23.44 ,$25.00 ,$25.00 ,,,,,,,,,,,,,21,$100.86 
No Class,SFT00480,SF SUGAR TAX 4.8,,,,,,,,,,,,,,30,39,48,45,50,45,87,100,84,84,85,66,,,,,,,,,,,,,$144.00 ,$187.20 ,$230.40 ,$216.00 ,$240.00 ,$216.00 ,$417.60 ,$480.00 ,$403.20 ,$403.20 ,$408.00 ,$316.80 ,763,"$3,662.40 "
No Class,SFT00048,SF SUGAR TAX 0.48,,,,,,,,,,,,,,32,44,40,48,49,61,45,62,56,58,57,42,,,,,,,,,,,,,$15.36 ,$21.12 ,$19.20 ,$23.04 ,$23.52 ,$29.28 ,$21.60 ,$29.76 ,$26.88 ,$27.84 ,$27.36 ,$20.16 ,594,$285.12 
No Class,SFT00144,SF SUGAR TAX 1.44,,,,,,,,,,,,,,27,21,29,34,24,26,23,27,24,41,38,27,,,,,,,,,,,,,$38.88 ,$30.24 ,$41.76 ,$48.96 ,$34.56 ,$37.44 ,$33.12 ,$38.88 ,$34.56 ,$59.04 ,$54.72 ,$38.88 ,341,$491.04 
No Class,SFT00059,SF SUGAR TAX 0.59,,,,,,,,,,,,,,70,80,74,59,35,46,34,27,25,38,34,22,,,,,,,,,,,,,$41.30 ,$47.20 ,$43.66 ,$34.81 ,$20.65 ,$27.14 ,$20.06 ,$15.93 ,$14.75 ,$22.42 ,$20.06 ,$12.98 ,544,$320.96 
No Class,SFT00064,SF SUGAR TAX 0.64,,,,,,,,,,,,,,10,24,20,24,,12,18,12,27,15,29,2,,,,,,,,,,,,,$6.40 ,$15.36 ,$12.80 ,$15.36 ,,$7.68 ,$11.52 ,$7.68 ,$17.28 ,$9.60 ,$18.56 ,$1.28 ,193,$123.52 
No Class,SFT00192,SF SUGAR TAX 1.92,,,,,,,,,,,,,,,,,,,,,,,1,18,18,,,,,,,,,,,,,,,,,,,,,,$1.92 ,$34.56 ,$34.56 ,37,$71.04 
No Class,SFT00202,SF SUGAR TAX 2.02,,,,,,,,,,,,,,18,26,26,35,28,22,20,26,17,24,18,12,,,,,,,,,,,,,$36.36 ,$52.52 ,$52.52 ,$70.70 ,$56.56 ,$44.44 ,$40.40 ,$52.52 ,$34.34 ,$48.48 ,$36.36 ,$24.24 ,272,$549.44 
No Class,SFT01600,SF SUGAR TAX 16.00,,,,,,,,,,,,,,,,,1,7,3,10,6,10,2,17,,,,,,,,,,,,,,,,,$16.00 ,$112.00 ,$48.00 ,$160.00 ,$138.20 ,$160.00 ,$32.00 ,$272.00 ,,56,$938.20 
No Class,SFT03200,SF SUGAR TAX 32,,,,,,,,,,,,,,,,,2,5,1,13,9,8,5,12,1,,,,,,,,,,,,,,,,$64.00 ,$160.00 ,$32.00 ,$416.00 ,$294.50 ,$256.00 ,$160.00 ,$384.00 ,$32.00 ,56,"$1,798.50 "
No Class,SFT00288,SF SUGAR TAX 2.88,,,,,,,,,,,,,,15,15,18,21,27,23,18,16,16,19,3,,,,,,,,,,,,,,$43.20 ,$43.20 ,$51.84 ,$60.48 ,$77.76 ,$66.24 ,$51.84 ,$46.08 ,$46.08 ,$54.72 ,$8.64 ,,191,$550.08 
No Class,SFT01760,SF SUGAR TAX $17.60,,,,,,,,,,,,,,,,,1,1,,2,1,1,,2,,,,,,,,,,,,,,,,,$17.60 ,$17.60 ,,$35.20 ,$17.60 ,$17.60 ,,$35.20 ,,8,$140.80 
No Class,SFT04800,SF SUGAR TAX 48,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$48.00 ,,,1,$48.00 
Paper Products,PAP00025,Marcal 100% Premium Recycled Paper Towel Roll,ROLL,195,180,150,195,210,195,180,240,177,165,180,144,240,195,174,285,135,180,54,210,195,285,210,180,$378.30 ,$349.20 ,$291.00 ,$378.30 ,$412.84 ,$390.10 ,$360.09 ,$480.10 ,$354.09 ,$330.09 ,$360.08 ,$288.07 ,$480.11 ,$390.10 ,$348.09 ,$598.15 ,$288.07 ,$384.09 ,$115.23 ,$448.11 ,$416.10 ,$608.14 ,$448.11 ,$384.09 ,"4,554","$9,280.63 "
Paper Products,PAP00015,"World Centric Plate Paper 10"" Bagasse Bio 50 ct",SLEEVE,,,,,,,,,,,,,,,,,,,32,,16,80,144,64,,,,,,,,,,,,,,,,,,,$259.81 ,,$129.91 ,$649.54 ,"$1,169.17 ",$519.63 ,336,"$2,728.06 "
Paper Products,PAP00022,World Centric Souffle Portion Cup 4 oz Bio Clear 50 ct,SLEEVE,80,100,120,80,100,100,100,120,100,120,80,60,140,40,100,100,120,140,140,140,180,160,140,80,$214.35 ,$267.94 ,$321.53 ,$214.35 ,$271.30 ,$276.35 ,$276.35 ,$331.62 ,$276.35 ,$331.62 ,$221.08 ,$165.81 ,$399.07 ,$114.60 ,$286.51 ,$297.97 ,$366.72 ,$427.84 ,$427.83 ,$427.83 ,$550.06 ,$488.94 ,$427.83 ,$244.47 ,"2,640","$7,628.32 "
Paper Products,PAP00146,World Centric Napkin 13x13 250 ct,BAG,,,,,,,,,,,,,,,,,,,,72,69,108,108,72,,,,,,,,,,,,,,,,,,,,$354.14 ,$339.39 ,$531.22 ,$531.22 ,$354.14 ,429,"$2,110.11 "
Paper Products,PAP00013,World Centric Fork Corn Starch Bio 50 ct,SLEEVE,80,40,100,60,100,60,80,100,80,80,40,120,60,60,20,120,40,120,60,40,40,40,80,40,$248.16 ,$124.08 ,$310.21 ,$186.12 ,$316.02 ,$191.95 ,$255.93 ,$319.90 ,$255.93 ,$255.92 ,$127.97 ,$383.88 ,$194.28 ,$194.28 ,$64.76 ,$401.53 ,$138.15 ,$414.46 ,$207.24 ,$138.16 ,$138.15 ,$138.16 ,$276.32 ,$138.15 ,"1,660","$5,419.72 "
Paper Products,PAP00014,World Centric Knife Corn Starch Bio 50 ct,SLEEVE,,20,,,,,,,20,80,20,80,20,,20,40,,60,,20,,,60,,,$62.07 ,,,,,,,$64.02 ,$256.06 ,$64.02 ,$256.06 ,$64.76 ,,$64.76 ,$138.16 ,,$207.24 ,,$69.08 ,,,$207.25 ,,440,"$1,453.48 "
Paper Products,PAP00009,World Centric Cup Hot 12 oz Paper Wood Pulp Bio 50 ct,SLEEVE,20,20,,,,,,20,,,,,20,,,60,,,,,,,20,,$108.25 ,$108.25 ,,,,,,$111.64 ,,,,,$113.25 ,,,$362.38 ,,,,,,,$120.79 ,,160,$924.56 
Paper Products,PAP00097,Rockline Brewrite Coffee Filter Wide 2/500 ct,CASE,5,,,,,9,,,,,2,2,,,1,2,3,,,,1,3,2,2,$62.80 ,,,,,$116.57 ,,,,,$25.91 ,$25.91 ,,,$13.50 ,$28.79 ,$43.18 ,,,,$14.40 ,$43.18 ,$28.79 ,$28.79 ,32,$431.81 
Paper Products,PAP00003,World Centric Cup Cold 16 oz Bio Clear 50 ct,SLEEVE,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,$145.12 ,,,,,,,,,,,,20,$145.12 
Paper Products,PAP00019,World Centric Paper Sleeve 12-20 oz Cup Bio 50 ct,SLEEVE,,,,,,,,,,,20,,,,,,,20,,,,,,,,,,,,,,,,,$55.27 ,,,,,,,$61.49 ,,,,,,,40,$116.76 
Paper Products,PAP00020,World Centric Spoon Corn Starch Bio 50 ct,SLEEVE,,20,,,,,20,,40,80,20,80,20,20,20,40,,,,20,,,,,,$62.03 ,,,,,$63.96 ,,$127.93 ,$255.85 ,$63.96 ,$255.85 ,$64.08 ,$64.08 ,$64.08 ,$136.71 ,,,,$68.36 ,,,,,380,"$1,226.90 "
Paper Products,PAP00031,Acclaimed Dinner Napkins White 350 ct,PACK,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,$88.97 ,,,,,,12,$88.97 
Paper Products,PAP00032,Rockline Brewrite1.5 gal Coffee Filter 500 ct,CASE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,$18.65 ,,,,,,,,,,,1,$18.65 
Paper Products,PAP00071,"Royal 7.5"" Wood Stirrer 500 ct",BOX,,17,16,,12,12,,25,8,,,,6,,18,,8,,4,10,4,8,,12,,$101.73 ,$95.74 ,,$74.05 ,$74.05 ,,$154.28 ,$49.37 ,,,,$37.03 ,,$111.08 ,,$52.66 ,,$26.33 ,$65.83 ,$26.33 ,$52.66 ,,$78.99 ,160,"$1,000.12 "
Paper Products,PAP00083,"Kirkland Signature Aluminum Foil 12'' x1000""",EACH,,,,2,,,,,1,,,,,,,2,,,,,,,,,,,,$88.15 ,,,,,$45.45 ,,,,,,,$96.97 ,,,,,,,,,5,$230.56 
Paper Products,PAP00085,Ziploc Sandwich Bag 500 ct,BOX,20,,,12,,6,,8,,,,,,,,,,,,,,,,,$398.16 ,,,$238.90 ,,$123.18 ,,$164.25 ,,,,,,,,,,,,,,,,,46,$924.49 
Paper Products,PAP00087,Ziploc Smart Zip Gallon Freezer Bag 152 ct,BOX,30,5,,12,16,10,,9,,,,,,,,,,,,,,,,,$824.59 ,$137.44 ,,$329.84 ,$439.78 ,$283.46 ,,$255.12 ,,,,,,,,,,,,,,,,,82,"$2,270.22 "
Paper Products,PAP00100,"Vanity Fair Table Cloth 54"" x 108"" 6 ct",BAG,6,20,8,6,6,20,,,20,,,16,,,,6,10,,,,,,,,$70.33 ,$234.43 ,$93.77 ,$70.33 ,$70.33 ,$241.75 ,,,$241.75 ,,,$193.41 ,,,,$77.36 ,$128.93 ,,,,,,,,118,"$1,422.38 "
Paper Products,PAP00101,Hefty Diamond 10-5/8 Paper Plates 150 ct,BAG,39,24,44,35,30,44,29,38,19,26,34,25,35,26,21,37,24,24,14,25,17,,,,"$1,055.34 ",$649.44 ,"$1,190.64 ",$947.10 ,$819.40 ,"$1,227.81 ",$809.24 ,"$1,060.40 ",$530.20 ,$725.53 ,$948.78 ,$697.62 ,$976.66 ,$725.52 ,$585.98 ,"$1,073.40 ",$714.36 ,$714.35 ,$416.72 ,$744.13 ,$506.01 ,,,,610,"$17,118.61 "
Paper Products,PAP00102,Chinet 6-3/4 Paper Plates 300 ct,BAG,3,8,9,6,13,16,6,14,7,,,,,,,,,,,,,,,,$73.63 ,$196.35 ,$220.90 ,$147.26 ,$322.91 ,$404.98 ,$151.87 ,$354.35 ,$177.18 ,,,,,,,,,,,,,,,,82,"$2,049.41 "
Paper Products,PAP00145,Preference Dinner Napkin 1/8 Fold 100 ct,EACH,,,,,,,,,,,,,,,,,60,125,30,,,,,,,,,,,,,,,,,,,,,,$158.89 ,$330.99 ,$79.44 ,,,,,,215,$569.32 
Refrigerated,REF00347,Wilcox Hard Cooked Single Peeled Egg,EACH,"1,254",822,"1,650","1,200","1,470","1,620","1,380","1,800","1,260","1,440","1,530",840,"1,500","1,380","1,950","1,650","1,950","1,740","1,650","1,860","1,530","1,380","2,070","1,590",$854.98 ,$560.44 ,"$1,124.99 ",$818.16 ,"$1,015.71 ","$1,139.07 ",$970.32 ,"$1,265.63 ",$885.92 ,"$1,012.46 ","$1,075.76 ",$590.61 ,"$1,054.68 ",$970.31 ,"$1,371.07 ","$1,217.79 ","$1,462.50 ","$1,305.00 ","$1,237.50 ","$1,395.00 ","$1,147.50 ","$1,035.00 ","$1,552.50 ","$1,192.50 ","36,516","$26,255.40 "
Refrigerated,REF00405,Wilcox Hard Boiled Eggs ORG Single Count,EACH,,,,,,,,,,,,,,,,,,,,,180,,120,,,,,,,,,,,,,,,,,,,,,,$150.30 ,,$100.20 ,,300,$250.50 
Refrigerated,REF00007,Applegate Farms Genoa Salami Sliced 4 oz,BAG,104,77,114,121,136,150,108,129,93,118,105,61,104,127,132,125,167,125,117,122,105,124,78,70,$595.70 ,$441.09 ,$652.98 ,$693.06 ,$789.58 ,$886.01 ,$638.02 ,$762.02 ,$549.43 ,$696.97 ,$620.24 ,$360.30 ,$614.28 ,$750.11 ,$779.61 ,$660.54 ,$885.21 ,$662.63 ,$620.29 ,$646.79 ,$556.66 ,$657.39 ,$413.42 ,$371.01 ,"2,712","$15,303.34 "
Refrigerated,REF00010,Applegate Farms Ham Black Forest Sliced 7 oz,BAG,78,62,91,77,75,76,75,72,58,69,70,45,91,71,81,90,108,79,68,75,70,63,73,49,$498.69 ,$396.41 ,$581.76 ,$492.25 ,$486.07 ,$501.08 ,$494.54 ,$474.74 ,$382.44 ,$454.92 ,$461.53 ,$296.73 ,$600.01 ,$468.13 ,$523.83 ,$533.48 ,$652.51 ,$477.28 ,$410.84 ,$453.15 ,$422.93 ,$380.64 ,$441.08 ,$296.06 ,"1,766","$11,181.10 "
Refrigerated,REF00006,Applegate Farms Oven Roasted Turkey 7 oz,BAG,75,37,59,49,62,65,73,63,41,62,50,32,74,44,73,72,64,72,84,70,48,56,57,43,$479.53 ,$236.56 ,$377.22 ,$313.26 ,$403.37 ,$428.51 ,$481.31 ,$415.33 ,$270.32 ,$408.79 ,$329.64 ,$210.98 ,$487.91 ,$290.10 ,$486.42 ,$546.65 ,$493.66 ,$555.39 ,$647.95 ,$539.95 ,$370.25 ,$431.97 ,$439.69 ,$331.69 ,"1,425","$9,976.45 "
Refrigerated,REF00008,Applegate Farms Organic Smoked Turkey Sliced 6 oz,BAG,84,70,67,67,78,69,75,75,47,66,76,33,82,68,76,96,72,61,16,58,46,56,51,52,$537.09 ,$447.53 ,$428.31 ,$428.29 ,$504.44 ,$454.89 ,$494.47 ,$494.44 ,$309.89 ,$435.16 ,$501.08 ,$217.58 ,$540.66 ,$448.36 ,$509.40 ,$729.83 ,$555.38 ,$470.54 ,$123.42 ,$447.38 ,$354.82 ,$431.97 ,$393.42 ,$401.12 ,"1,541","$10,659.47 "
Refrigerated,REF00009,Applegate Farms Organic Sliced Oven Roasted Turkey 6 oz,BAG,78,70,71,66,76,70,75,69,47,67,71,31,72,54,76,56,56,73,48,51,58,75,51,63,$498.73 ,$447.53 ,$453.89 ,$421.90 ,$491.65 ,$461.48 ,$494.47 ,$454.88 ,$309.88 ,$441.75 ,$468.11 ,$204.40 ,$474.72 ,$356.04 ,$489.01 ,$333.78 ,$376.80 ,$563.11 ,$370.26 ,$393.39 ,$447.38 ,$578.53 ,$393.43 ,$485.99 ,"1,524","$10,411.11 "
Refrigerated,REF00123,Lucerne Best Of The Egg Whites 32 fl oz,EACH,13,5,23,22,10,25,14,17,14,6,9,9,18,11,23,13,15,22,23,30,11,12,12,17,$108.15 ,$41.59 ,$191.32 ,$183.01 ,$84.48 ,$214.48 ,$120.10 ,$145.85 ,$120.10 ,$51.48 ,$77.21 ,$77.20 ,$154.42 ,$94.36 ,$197.29 ,$115.52 ,$137.25 ,$201.30 ,$210.45 ,$274.50 ,$100.65 ,$109.80 ,$109.80 ,$155.55 ,374,"$3,275.86 "
Refrigerated,REF00122,Lucerne Best Of The Egg 32 oz,EACH,12,10,19,21,14,6,14,14,14,12,11,6,10,16,18,8,17,12,19,12,16,12,9,14,$99.82 ,$83.19 ,$158.05 ,$174.70 ,$119.06 ,$51.48 ,$120.10 ,$120.11 ,$120.09 ,$102.94 ,$94.36 ,$51.47 ,$85.79 ,$137.25 ,$154.40 ,$72.06 ,$155.55 ,$109.80 ,$173.85 ,$109.80 ,$146.40 ,$109.80 ,$82.35 ,$128.10 ,316,"$2,760.52 "
Refrigerated,REF00029,Amy's Burrito Bean And Cheese Gluten Free 12/5.5 oz,BOX,6,,2,,4,,2,,4,,,,7,,,,,,,,,,,,$225.10 ,,$75.03 ,,$154.75 ,,$77.38 ,,$154.75 ,,,,$270.82 ,,,,,,,,,,,,25,$957.83 
Refrigerated,REF00030,Amy's Mac & Cheese Nondairy Rice 12/8 oz,BOX,4,,5,5,,,4,3,4,,,,13,,,5,,,,,,,,,$197.88 ,,$247.35 ,$247.35 ,,,$204.06 ,$153.05 ,$204.06 ,,,,$663.21 ,,,$292.25 ,,,,,,,,,43,"$2,209.21 "
Refrigerated,REF00031,Amy's Burrito Bean & Cheese Low Sodium 12/6 oz,BOX,6,,,,,,,4,4,,,,7,,,5,,,,,,,,,$201.10 ,,,,,,,$138.25 ,$138.25 ,,,,$241.94 ,,,$197.92 ,,,,,,,,,26,$917.46 
Refrigerated,REF00032,Amy's Bean & Cheese Burrito 12/6 oz,BOX,0,,,,4,,,,,,,,3,,,,,,,,,,,,$0.00 ,,,,$424.12 ,,,,,,,,$318.09 ,,,,,,,,,,,,7,$742.21 
Refrigerated,REF00039,Amy's Mac & Cheese Whole Wheat 12/9 oz,CASE,,,,5,,,,,,48,,,,,,,,,,,,,,,,,,$201.29 ,,,,,,"$1,992.75 ",,,,,,,,,,,,,,,53,"$2,194.04 "
Refrigerated,REF00042,Amy's Lasagna Garden Vegetable  10.3 oz,EACH,4,,,5,,,,2,,12,,,,,,,,,,,,,,,$236.12 ,,,$295.15 ,,,,$121.75 ,,$730.50 ,,,,,,,,,,,,,,,23,"$1,383.52 "
